"Timestamp","CpuPct"
"2026-04-13T13:05:58.8311142-07:00","27.73"
"2026-04-13T13:05:59.4282539-07:00","29"
"2026-04-13T13:05:59.9603365-07:00","36.46"
"2026-04-13T13:06:00.4652072-07:00","38.43"
"2026-04-13T13:06:00.9811105-07:00","40.63"
"2026-04-13T13:06:01.4964211-07:00","40.18"
"2026-04-13T13:06:02.0074754-07:00","37.71"
"2026-04-13T13:06:02.5258753-07:00","44.46"
"2026-04-13T13:06:03.0387800-07:00","43.66"
"2026-04-13T13:06:03.5413652-07:00","43.01"
"2026-04-13T13:06:04.0429171-07:00","51.66"
"2026-04-13T13:06:04.5437846-07:00","66.29"
"2026-04-13T13:06:05.0545178-07:00","61.95"
"2026-04-13T13:06:05.5703639-07:00","67.65"
"2026-04-13T13:06:06.0728142-07:00","63.23"
"2026-04-13T13:06:06.5894304-07:00","58.73"
"2026-04-13T13:06:07.0957281-07:00","55.04"
"2026-04-13T13:06:07.5981360-07:00","65.83"
"2026-04-13T13:06:08.0995220-07:00","70.38"
"2026-04-13T13:06:08.6009086-07:00","75.31"
"2026-04-13T13:06:09.1030829-07:00","59.38"
"2026-04-13T13:06:09.6045717-07:00","44.66"
"2026-04-13T13:06:10.1056981-07:00","66.78"
"2026-04-13T13:06:10.6067526-07:00","82.12"
"2026-04-13T13:06:11.1209960-07:00","81.53"
"2026-04-13T13:06:11.6218541-07:00","59.01"
"2026-04-13T13:06:12.1242259-07:00","76.46"
"2026-04-13T13:06:12.6267372-07:00","81.88"
"2026-04-13T13:06:13.1280977-07:00","46.49"
"2026-04-13T13:06:13.6294979-07:00","45.19"
"2026-04-13T13:06:14.1368112-07:00","62.88"
"2026-04-13T13:06:14.6529038-07:00","76.7"
"2026-04-13T13:06:15.1568274-07:00","62.27"
"2026-04-13T13:06:15.6581735-07:00","59.99"
"2026-04-13T13:06:16.1596454-07:00","71.92"
"2026-04-13T13:06:16.6644982-07:00","76.6"
"2026-04-13T13:06:17.1666673-07:00","75.45"
"2026-04-13T13:06:17.6700127-07:00","68.55"
"2026-04-13T13:06:18.1749932-07:00","67.3"
"2026-04-13T13:06:18.6763291-07:00","70.38"
"2026-04-13T13:06:19.1914004-07:00","64.46"
"2026-04-13T13:06:19.6976695-07:00","72.27"
"2026-04-13T13:06:20.1983270-07:00","76.2"
"2026-04-13T13:06:20.7013049-07:00","76.89"
"2026-04-13T13:06:21.2044833-07:00","69.87"
"2026-04-13T13:06:21.7191199-07:00","70.59"
"2026-04-13T13:06:22.2346403-07:00","74"
"2026-04-13T13:06:22.7356995-07:00","75.36"
"2026-04-13T13:06:23.2382314-07:00","76.95"
"2026-04-13T13:06:23.7401099-07:00","80.17"
"2026-04-13T13:06:24.2448435-07:00","65.01"
"2026-04-13T13:06:24.7588144-07:00","67.13"
"2026-04-13T13:06:25.2624397-07:00","66.45"
"2026-04-13T13:06:25.7688531-07:00","70.71"
"2026-04-13T13:06:26.2733496-07:00","67.88"
"2026-04-13T13:06:26.7794995-07:00","75.37"
"2026-04-13T13:06:27.2817689-07:00","55.74"
"2026-04-13T13:06:27.7844525-07:00","61.39"
