"Timestamp","CpuPct"
"2026-04-13T13:23:12.9546112-07:00","20.43"
"2026-04-13T13:23:13.5165485-07:00","23.87"
"2026-04-13T13:23:14.0267153-07:00","26.54"
"2026-04-13T13:23:14.5383688-07:00","27.74"
"2026-04-13T13:23:15.0475996-07:00","25.31"
"2026-04-13T13:23:15.5490345-07:00","28.3"
"2026-04-13T13:23:16.0608469-07:00","28.75"
"2026-04-13T13:23:16.5760673-07:00","25.27"
"2026-04-13T13:23:17.0841199-07:00","31.27"
"2026-04-13T13:23:17.5978407-07:00","28.13"
"2026-04-13T13:23:18.1065413-07:00","27.13"
"2026-04-13T13:23:18.6190795-07:00","28.45"
"2026-04-13T13:23:19.1307471-07:00","26.97"
"2026-04-13T13:23:19.6449711-07:00","26.84"
"2026-04-13T13:23:20.1522357-07:00","26.18"
"2026-04-13T13:23:20.6651670-07:00","28.94"
"2026-04-13T13:23:21.1720827-07:00","26.97"
"2026-04-13T13:23:21.6835120-07:00","25.97"
"2026-04-13T13:23:22.1969745-07:00","25.11"
"2026-04-13T13:23:22.7042559-07:00","26.18"
"2026-04-13T13:23:23.2164062-07:00","23.9"
"2026-04-13T13:23:23.7267306-07:00","29.85"
"2026-04-13T13:23:24.2372368-07:00","29.84"
"2026-04-13T13:23:24.7431010-07:00","20.59"
"2026-04-13T13:23:25.2570160-07:00","24.83"
"2026-04-13T13:23:25.7680589-07:00","20.64"
"2026-04-13T13:23:26.2809185-07:00","23.36"
"2026-04-13T13:23:26.7911732-07:00","25.26"
"2026-04-13T13:23:27.3020840-07:00","23.96"
"2026-04-13T13:23:27.8083848-07:00","24.95"
"2026-04-13T13:23:28.3218119-07:00","21.81"
"2026-04-13T13:23:28.8308494-07:00","23.53"
"2026-04-13T13:23:29.3443490-07:00","24.09"
"2026-04-13T13:23:29.8547438-07:00","25.26"
"2026-04-13T13:23:30.3687148-07:00","26.85"
"2026-04-13T13:23:30.8778933-07:00","24.55"
"2026-04-13T13:23:31.3868409-07:00","23.54"
"2026-04-13T13:23:31.9002417-07:00","24.85"
"2026-04-13T13:23:32.4134407-07:00","11.92"
"2026-04-13T13:23:32.9214174-07:00","7.95"
"2026-04-13T13:23:33.4355855-07:00","7.85"
"2026-04-13T13:23:33.9457671-07:00","8.68"
"2026-04-13T13:23:34.4551003-07:00","8.44"
"2026-04-13T13:23:34.9671064-07:00","8.39"
"2026-04-13T13:23:35.4798655-07:00","8.63"
"2026-04-13T13:23:35.9875472-07:00","8.46"
"2026-04-13T13:23:36.4980499-07:00","8.16"
"2026-04-13T13:23:37.0102468-07:00","8.64"
"2026-04-13T13:23:37.5198114-07:00","8.18"
"2026-04-13T13:23:38.0311473-07:00","8.15"
"2026-04-13T13:23:38.5412231-07:00","8.68"
"2026-04-13T13:23:39.0558046-07:00","8.35"
"2026-04-13T13:23:39.5680158-07:00","8.39"
"2026-04-13T13:23:40.0762270-07:00","8.2"
"2026-04-13T13:23:40.5918491-07:00","8.59"
"2026-04-13T13:23:41.1028230-07:00","8.66"
"2026-04-13T13:23:41.6039487-07:00","8.31"
"2026-04-13T13:23:42.1142205-07:00","8.17"
"2026-04-13T13:23:42.6269090-07:00","8.38"
